DATE,gs10,pcepi,pcepilfe,fedfunds,baa,paclaims
2001-01-01,5.16,79.265,81.592,5.98,7.93,32670
2001-02-01,5.10,79.388,81.736,5.49,7.87,22619
2001-03-01,4.89,79.395,81.821,5.31,7.84,21618
2001-04-01,5.14,79.534,81.951,4.80,8.07,22037
2001-05-01,5.39,79.743,81.970,4.21,8.07,20420
2001-06-01,5.28,79.885,82.154,3.97,7.97,23478
2001-07-01,5.24,79.858,82.366,3.77,7.97,23281
2001-08-01,4.97,79.848,82.406,3.65,7.85,18508
2001-09-01,4.73,79.577,81.939,3.07,8.03,19097
2001-10-01,4.57,79.857,82.516,2.49,7.91,23151
2001-11-01,4.65,79.803,82.683,2.09,7.81,24697
2001-12-01,5.09,79.721,82.702,1.82,8.05,35818
2002-01-01,5.04,79.793,82.750,1.73,7.87,36378
2002-02-01,4.91,79.926,82.907,1.74,7.89,24160
2002-03-01,5.28,80.144,83.006,1.73,8.11,22142
2002-04-01,5.21,80.479,83.238,1.75,8.03,21007
2002-05-01,5.16,80.531,83.331,1.75,8.09,19952
2002-06-01,4.93,80.632,83.463,1.75,7.95,21194
2002-07-01,4.65,80.810,83.632,1.73,7.90,21126
2002-08-01,4.26,80.969,83.797,1.74,7.58,17799
2002-09-01,3.87,81.115,83.934,1.75,7.40,17680
2002-10-01,3.94,81.262,84.005,1.75,7.73,21279
2002-11-01,4.05,81.343,84.087,1.34,7.62,24103
2002-12-01,4.03,81.421,84.165,1.24,7.45,37519
2003-01-01,4.05,81.664,84.223,1.24,7.35,36393
2003-02-01,3.90,82.009,84.339,1.26,7.06,26729
2003-03-01,3.81,82.219,84.474,1.25,6.95,23718
2003-04-01,3.96,82.080,84.568,1.26,6.85,24000
2003-05-01,3.57,81.986,84.690,1.26,6.38,20033
2003-06-01,3.33,82.074,84.738,1.22,6.19,24364
2003-07-01,3.98,82.315,84.949,1.01,6.62,22663
2003-08-01,4.45,82.593,85.045,1.03,7.01,17901
2003-09-01,4.27,82.852,85.164,1.01,6.79,18085
2003-10-01,4.29,82.862,85.320,1.01,6.73,18769
2003-11-01,4.30,82.967,85.437,1.00,6.66,21792
2003-12-01,4.27,83.150,85.544,0.98,6.60,34957
2004-01-01,4.15,83.471,85.763,1.00,6.44,33293
2004-02-01,4.08,83.649,85.902,1.01,6.27,22340
2004-03-01,3.83,83.778,86.046,1.00,6.11,19410
2004-04-01,4.35,83.934,86.270,1.00,6.46,20347
2004-05-01,4.72,84.206,86.388,1.00,6.75,17477
2004-06-01,4.73,84.447,86.525,1.03,6.78,21180
2004-07-01,4.50,84.525,86.628,1.26,6.62,19090
2004-08-01,4.28,84.569,86.661,1.43,6.46,16498
2004-09-01,4.13,84.735,86.823,1.61,6.27,16365
2004-10-01,4.10,85.099,87.012,1.76,6.21,17833
2004-11-01,4.19,85.427,87.199,1.93,6.20,21179
2004-12-01,4.23,85.473,87.311,2.16,6.15,28428
2005-01-01,4.22,85.585,87.625,2.28,6.02,34048
2005-02-01,4.17,85.823,87.770,2.50,5.82,20450
2005-03-01,4.50,86.080,87.987,2.63,6.06,21304
2005-04-01,4.34,86.321,88.089,2.79,6.05,18693
2005-05-01,4.14,86.370,88.269,3.00,6.01,16935
2005-06-01,4.00,86.423,88.330,3.04,5.86,21274
2005-07-01,4.18,86.790,88.460,3.26,5.95,19034
2005-08-01,4.26,87.140,88.532,3.50,5.96,16024
2005-09-01,4.20,87.981,88.728,3.62,6.03,15400
2005-10-01,4.46,88.121,88.982,3.78,6.30,17664
2005-11-01,4.54,87.938,89.210,4.00,6.39,20454
2005-12-01,4.47,87.938,89.302,4.16,6.32,32024
2006-01-01,4.42,88.364,89.503,4.29,6.24,29667
2006-02-01,4.57,88.417,89.647,4.49,6.27,21949
2006-03-01,4.72,88.588,89.894,4.59,6.41,20301
2006-04-01,4.99,88.999,90.169,4.79,6.68,19545
2006-05-01,5.11,89.239,90.395,4.94,6.75,19074
2006-06-01,5.11,89.459,90.623,4.99,6.78,22019
2006-07-01,5.09,89.765,90.712,5.24,6.76,21189
2006-08-01,4.88,90.047,90.896,5.25,6.59,16346
2006-09-01,4.72,89.812,91.040,5.25,6.43,16038
2006-10-01,4.73,89.599,91.204,5.25,6.42,18253
2006-11-01,4.60,89.630,91.248,5.25,6.20,21813
2006-12-01,4.56,89.949,91.370,5.24,6.22,31977
2007-01-01,4.76,90.249,91.741,5.25,6.34,31907
2007-02-01,4.72,90.529,91.939,5.26,6.28,27471
2007-03-01,4.56,90.861,92.032,5.26,6.27,21056
2007-04-01,4.69,91.074,92.163,5.25,6.39,22280
2007-05-01,4.75,91.339,92.272,5.25,6.39,17983
2007-06-01,5.10,91.532,92.424,5.25,6.70,21514
2007-07-01,5.00,91.672,92.563,5.26,6.65,21811
2007-08-01,4.67,91.734,92.701,5.02,6.65,17291
2007-09-01,4.52,92.088,92.954,4.94,6.59,16143
2007-10-01,4.53,92.367,93.196,4.76,6.48,19526
2007-11-01,4.15,92.856,93.379,4.49,6.40,22855
2007-12-01,4.10,93.072,93.567,4.24,6.65,33936
2008-01-01,3.74,93.307,93.753,3.94,6.54,32677
2008-02-01,3.74,93.492,93.844,2.98,6.82,25745
2008-03-01,3.51,93.760,94.028,2.61,6.89,23305
2008-04-01,3.68,93.934,94.083,2.28,6.97,21160
2008-05-01,3.88,94.337,94.255,1.98,6.93,20546
2008-06-01,4.10,95.021,94.471,2.00,7.07,25262
2008-07-01,4.01,95.463,94.641,2.01,7.16,22819
2008-08-01,3.89,95.386,94.757,2.00,7.15,20070
2008-09-01,3.69,95.465,94.854,1.81,7.31,20188
2008-10-01,3.81,94.835,94.719,0.97,8.88,23841
2008-11-01,3.53,93.716,94.677,0.39,9.21,31683
2008-12-01,2.42,93.192,94.631,0.16,8.43,45404
2009-01-01,2.52,93.203,94.602,0.15,8.14,47865
2009-02-01,2.87,93.369,94.677,0.22,8.08,38852
2009-03-01,2.82,93.267,94.745,0.18,8.42,38105
2009-04-01,2.93,93.401,94.957,0.15,8.39,37603
2009-05-01,3.29,93.498,95.030,0.18,8.06,34139
2009-06-01,3.72,94.053,95.151,0.21,7.50,39960
2009-07-01,3.56,94.063,95.233,0.16,7.09,35476
2009-08-01,3.59,94.336,95.374,0.16,6.58,29852
2009-09-01,3.40,94.489,95.541,0.15,6.31,28140
2009-10-01,3.39,94.847,95.893,0.12,6.29,29893
2009-11-01,3.40,95.084,95.978,0.12,6.32,32413
2009-12-01,3.59,95.140,96.060,0.12,6.37,40965
2010-01-01,3.73,95.348,96.201,0.11,6.25,43350
2010-02-01,3.69,95.345,96.285,0.13,6.34,32904
2010-03-01,3.73,95.480,96.429,0.16,6.27,26002
2010-04-01,3.85,95.532,96.478,0.20,6.25,25954
2010-05-01,3.42,95.562,96.585,0.20,6.05,23620
2010-06-01,3.20,95.522,96.632,0.18,6.23,26976
2010-07-01,3.01,95.604,96.633,0.18,6.01,24571
2010-08-01,2.70,95.735,96.726,0.19,5.66,21951
2010-09-01,2.65,95.830,96.781,0.19,5.66,20568
2010-10-01,2.54,96.135,96.928,0.19,5.72,24584
2010-11-01,2.76,96.327,97.054,0.19,5.92,25650
2010-12-01,3.29,96.545,97.074,0.18,6.10,34191
2011-01-01,3.39,96.835,97.283,0.17,6.09,38004
2011-02-01,3.58,97.105,97.453,0.16,6.15,26356
2011-03-01,3.41,97.496,97.600,0.14,6.03,23615
2011-04-01,3.46,97.908,97.824,0.10,6.02,23943
2011-05-01,3.17,98.206,98.057,0.09,5.78,22974
2011-06-01,3.00,98.186,98.164,0.09,5.75,26303
2011-07-01,3.00,98.353,98.309,0.07,5.76,23585
2011-08-01,2.30,98.584,98.505,0.10,5.36,20962
2011-09-01,1.98,98.723,98.572,0.08,5.27,23282
2011-10-01,2.15,98.725,98.619,0.07,5.37,21356
2011-11-01,2.01,98.928,98.828,0.08,5.14,24212
2011-12-01,1.98,98.984,98.992,0.07,5.25,33837
2012-01-01,1.97,99.323,99.288,0.08,5.23,34542
2012-02-01,1.97,99.545,99.426,0.10,5.14,23692
2012-03-01,2.17,99.735,99.595,0.13,5.23,21532
2012-04-01,2.05,99.866,99.746,0.14,5.19,23173
2012-05-01,1.80,99.754,99.847,0.16,5.07,22038
2012-06-01,1.62,99.704,99.950,0.16,5.02,25959
2012-07-01,1.53,99.740,100.053,0.16,4.87,22454
2012-08-01,1.68,100.075,100.116,0.13,4.91,19747
2012-09-01,1.72,100.379,100.240,0.14,4.84,18948
2012-10-01,1.75,100.677,100.482,0.16,4.58,20941
2012-11-01,1.65,100.609,100.591,0.16,4.51,28692
2012-12-01,1.72,100.593,100.664,0.16,4.63,33891
2013-01-01,1.91,100.787,100.871,0.14,4.73,33040
2013-02-01,1.98,101.156,100.992,0.15,4.85,23209
2013-03-01,1.96,101.023,101.085,0.14,4.85,21778
2013-04-01,1.76,100.944,101.163,0.15,4.59,20535
2013-05-01,1.93,101.010,101.272,0.11,4.73,19418
2013-06-01,2.30,101.228,101.438,0.09,5.19,23236
2013-07-01,2.58,101.354,101.567,0.09,5.32,23096
2013-08-01,2.74,101.510,101.685,0.08,5.42,17953
2013-09-01,2.81,101.550,101.799,0.08,5.47,16839
2013-10-01,2.62,101.722,102.015,0.09,5.31,19317
2013-11-01,2.72,101.881,102.194,0.08,5.38,22578
2013-12-01,2.90,102.084,102.333,0.09,5.38,34108
2014-01-01,2.86,102.278,102.426,0.07,5.19,32235
2014-02-01,2.71,102.338,102.489,0.07,5.10,24539
2014-03-01,2.72,102.543,102.684,0.08,5.06,19359
2014-04-01,2.71,102.742,102.879,0.09,4.90,19345
2014-05-01,2.56,102.919,103.061,0.09,4.76,17542
2014-06-01,2.60,103.035,103.180,0.10,4.80,22148
2014-07-01,2.54,103.190,103.369,0.09,4.73,18912
2014-08-01,2.42,103.177,103.408,0.09,4.69,15419
2014-09-01,2.53,103.203,103.536,0.09,4.80,13656
2014-10-01,2.30,103.177,103.629,0.09,4.69,16122
2014-11-01,2.33,103.098,103.740,0.09,4.79,20574
2014-12-01,2.21,102.940,103.837,0.12,4.74,27898
2015-01-01,1.88,102.465,103.816,0.11,4.45,30423
2015-02-01,1.98,102.634,103.920,0.11,4.51,22155
2015-03-01,2.04,102.831,104.080,0.11,4.54,19107
2015-04-01,1.94,102.910,104.256,0.12,4.48,18469
2015-05-01,2.20,103.156,104.385,0.12,4.89,15678
2015-06-01,2.36,103.356,104.511,0.13,5.13,21375
2015-07-01,2.32,103.441,104.603,0.13,5.20,18394
2015-08-01,2.17,103.442,104.679,0.14,5.19,15305
2015-09-01,2.17,103.289,104.814,0.14,5.34,13922
2015-10-01,2.07,103.274,104.829,0.12,5.34,16155
2015-11-01,2.26,103.337,104.940,0.12,5.46,19997
2015-12-01,2.24,103.253,105.009,0.24,5.46,26133
2016-01-01,2.09,103.306,105.204,0.34,5.45,30805
2016-02-01,1.78,103.242,105.369,0.38,5.34,19484
2016-03-01,1.89,103.481,105.521,0.36,5.13,16987
2016-04-01,1.81,103.823,105.786,0.37,4.79,16756
2016-05-01,1.81,103.977,105.948,0.37,4.68,16822
2016-06-01,1.64,104.175,106.077,0.38,4.53,19899
2016-07-01,1.50,104.218,106.257,0.39,4.22,16129
2016-08-01,1.56,104.374,106.456,0.40,4.24,14445
2016-09-01,1.63,104.555,106.579,0.40,4.31,13153
2016-10-01,1.76,104.786,106.737,0.40,4.38,14370
2016-11-01,2.14,104.826,106.789,0.41,4.71,16993
2016-12-01,2.49,105.017,106.929,0.54,4.83,23218
2017-01-01,2.43,105.408,107.205,0.65,4.66,24820
2017-02-01,2.42,105.570,107.414,0.66,4.64,16099
2017-03-01,2.48,105.512,107.364,0.79,4.68,16346
2017-04-01,2.30,105.744,107.620,0.90,4.57,13650
2017-05-01,2.30,105.714,107.719,0.91,4.55,12843
2017-06-01,2.19,105.815,107.876,1.04,4.37,17908
2017-07-01,2.32,105.842,107.941,1.15,4.39,14095
2017-08-01,2.21,106.093,108.074,1.16,4.31,11960
2017-09-01,2.20,106.491,108.215,1.15,4.30,11097
2017-10-01,2.36,106.648,108.499,1.15,4.32,12068
2017-11-01,2.35,106.825,108.582,1.16,4.27,16000
2017-12-01,2.40,106.980,108.742,1.30,4.22,22626
2018-01-01,2.58,107.362,109.080,1.41,4.26,24496
2018-02-01,2.86,107.625,109.311,1.42,4.51,15273
2018-03-01,2.84,107.777,109.562,1.51,4.64,14150
2018-04-01,2.87,107.988,109.750,1.69,4.67,12527
2018-05-01,2.98,108.193,109.956,1.70,4.83,12219
2018-06-01,2.91,108.317,110.073,1.82,4.83,15796
2018-07-01,2.89,108.417,110.219,1.91,4.79,13170
2018-08-01,2.89,108.502,110.246,1.91,4.77,11339
2018-09-01,3.00,108.738,110.476,1.95,4.88,10067
2018-10-01,3.15,108.924,110.626,2.19,5.07,10133
2018-11-01,3.12,108.969,110.831,2.20,5.22,14265
2018-12-01,2.83,108.991,111.009,2.27,5.13,20760
2019-01-01,2.71,108.977,111.134,2.40,5.12,20493
2019-02-01,2.68,109.146,111.207,2.40,4.95,15893
2019-03-01,2.57,109.443,111.350,2.41,4.84,13102
2019-04-01,2.53,109.780,111.650,2.42,4.70,11724
2019-05-01,2.40,109.856,111.773,2.39,4.63,11176
2019-06-01,2.07,109.935,112.000,2.38,4.46,16397
2019-07-01,2.06,110.094,112.157,2.40,4.28,12350
2019-08-01,1.63,110.132,112.270,2.13,3.87,11108
2019-09-01,1.70,110.207,112.339,2.04,3.91,9854
2019-10-01,1.71,110.423,112.496,1.83,3.92,11032
2019-11-01,1.81,110.469,112.524,1.55,3.94,14808
2019-12-01,1.86,110.736,112.772,1.55,3.88,23057
2020-01-01,1.76,110.944,113.008,1.55,3.77,20808
2020-02-01,1.50,111.070,113.206,1.58,3.61,13715
2020-03-01,0.87,110.824,113.143,0.65,4.29,191181
2020-04-01,0.66,110.237,112.668,0.05,4.13,154714
2020-05-01,0.67,110.353,112.819,0.05,3.95,49570
2020-06-01,0.73,110.746,113.051,0.08,3.64,44307
2020-07-01,0.62,111.072,113.425,0.09,3.31,40670
2020-08-01,0.65,111.411,113.782,0.10,3.27,26888
2020-09-01,0.68,111.613,113.979,0.09,3.36,22523
2020-10-01,0.79,111.648,114.017,0.09,3.44,20607
2020-11-01,0.87,111.666,114.048,0.09,3.30,24167
2020-12-01,0.93,112.150,114.422,0.09,3.16,41419
2021-01-01,1.08,112.583,114.782,0.09,3.24,33999
2021-02-01,1.26,112.961,114.975,0.08,3.42,27326
2021-03-01,1.61,113.632,115.457,0.07,3.74,20524
2021-04-01,1.64,114.238,116.186,0.07,3.60,23114
2021-05-01,1.62,114.819,116.787,0.06,3.62,24910
2021-06-01,1.52,115.458,117.349,0.08,3.44,26555
2021-07-01,1.32,115.986,117.811,0.10,3.24,26873
2021-08-01,1.28,116.444,118.199,0.09,3.24,9633
2021-09-01,1.37,116.808,118.446,0.08,3.23,10599
2021-10-01,1.58,117.479,118.929,0.08,3.35,11249
2021-11-01,1.56,118.200,119.543,0.08,3.28,9209
2021-12-01,1.47,118.841,120.193,0.08,3.30,10746
2022-01-01,1.76,119.469,120.761,0.08,3.58,15946
2022-02-01,1.93,120.178,121.205,0.08,3.97,10248
2022-03-01,2.13,121.321,121.651,0.20,4.29,7339
2022-04-01,2.75,121.563,122.030,0.33,4.66,9028
2022-05-01,2.90,122.300,122.488,0.77,5.12,8982
2022-06-01,3.14,123.512,123.258,1.21,5.27,9139
2022-07-01,2.90,123.366,123.316,1.68,5.21,8034
2022-08-01,2.90,123.690,123.983,2.33,5.15,6663
2022-09-01,3.52,124.102,124.542,2.56,5.69,6350
2022-10-01,3.98,,,3.08,6.26,7505