DATE,pghaww,pghmanuf,pghawwp,pghhouse,pghqwage
1990-03-01,444.63774963999700,-0.8,438.87699192648600,82.64,5768110584.5637900
1990-06-01,452.30129556025700,0.2,445.75813502984900,84.38,5889907961.8100700
1990-09-01,452.74031271500300,1.2,446.70230721293600,85.69,5914617123.2766700
1990-12-01,455.87517806675400,-0.4,450.17508597715600,85.90,5934031259.8012700
1991-03-01,459.94187465534300,-3.3,453.12913981429300,87.11,5991184059.6819000
1991-06-01,468.92830268021800,-3.2,461.47789187216800,88.80,6073466947.6202600
1991-09-01,472.85189047307100,-1.5,464.81425380965100,89.38,6110753451.8332500
1991-12-01,473.01784570514300,0.7,464.39913964557900,90.21,6114554069.6236300
1992-03-01,487.00417027666100,3.2,478.04152384131600,92.53,6332802914.1388100
1992-06-01,488.92227749785000,4.7,481.72318271598100,92.96,6387954692.0171400
1992-09-01,492.85932126820100,3.9,484.84056095793100,94.90,6442484341.8405300
1992-12-01,515.27300506034600,4.3,508.32088291144400,96.07,6713775384.3060200
1993-03-01,484.04436503599600,5.3,473.66913211505200,97.22,6373678796.2026300
1993-06-01,504.94539171431900,3.5,496.12538909680100,98.43,6617020331.2216600
1993-09-01,512.23279977636100,2.6,503.23153306795300,99.61,6723256511.6562500
1993-12-01,527.42283648350800,3.5,519.48091543810600,101.06,6920761959.8410700
1994-03-01,506.65721897858600,3.4,496.82443471114700,101.35,6681078820.2994600
1994-06-01,514.62887226966400,5.4,506.41402837492200,101.37,6813343399.6585200
1994-09-01,533.35206064237500,6.6,522.25666611550600,100.45,7084195616.1598200
1994-12-01,525.23507032442000,7.1,515.48637329073100,99.43,6977983497.9367200
1995-03-01,533.05528647996300,6.9,523.68051432811100,100.00,7139415911.1519700
1995-06-01,535.98680835843400,4.5,526.44061347452000,101.60,7168267216.3258200
1995-09-01,539.64965548996200,3.7,530.53565506311700,103.63,7203054518.3316300
1995-12-01,543.44769846797700,2.3,532.61090504917100,104.29,7272817982.1393700
1996-03-01,557.05991309524700,1.6,547.28038870941500,106.13,7477427530.3529800
1996-06-01,554.70475827061200,3.8,542.64123520715900,105.09,7481281321.0317800
1996-09-01,553.72038159306100,4.9,543.45112685037800,104.96,7457988010.8261700
1996-12-01,565.57488953061800,5.2,559.45542029824300,106.04,7652562205.4743700
1997-03-01,573.69194559907100,7.1,565.62400615142900,106.03,7822460361.6678100
1997-06-01,576.63764616881900,6.2,566.90978450445000,106.85,7836763626.3570700
1997-09-01,586.27998122430700,6.7,578.13679972642900,107.58,7976984541.8627900
1997-12-01,593.56561649252300,7.9,584.51017288069300,108.87,8158705834.6990400
1998-03-01,590.14776875654300,6.9,582.01547404927000,111.69,8111222434.9696100
1998-06-01,601.18836643182100,5.4,592.42601693763100,111.42,8315704762.2732800
1998-09-01,598.64894589044500,3.7,589.61748984702400,112.07,8291425563.5870300
1998-12-01,618.52079907244300,3.1,609.48440177232200,114.22,8644871089.6426300
1999-03-01,597.14174433654300,3.4,588.04417596505000,114.96,8484219176.3204900
1999-06-01,633.53122679147900,4.4,626.53308898194300,114.86,8887562577.5884300
1999-09-01,637.57400619766600,4.5,631.07375593245700,114.78,9141709963.6997800
1999-12-01,652.81973451904300,4.5,644.59506081282500,114.85,9205025747.4765100
2000-03-01,651.44876593693700,4.0,644.27121320712900,116.19,9279261817.2635300
2000-06-01,641.73678359392900,3.9,635.30671214057700,118.07,9167371011.3267500
2000-09-01,648.02169134984700,2.8,641.94840828790700,119.45,9245624077.8770000
2000-12-01,651.28145697751900,0.1,644.05561425212800,121.21,9351191392.1802200
2001-03-01,671.57416264601400,-2.4,663.36197934934900,124.81,9718079480.5444100
2001-06-01,669.77742945951200,-4.8,662.13620839776400,126.18,9614592191.8395600
2001-09-01,672.41165486688900,-5.9,661.68163603417000,127.58,9591149272.8395100
2001-12-01,669.75079636268200,-5.9,660.35723739588600,129.14,9531789130.5204100
2002-03-01,677.44526972886100,-3.0,667.19733600131600,131.01,9640983926.8910600
2002-06-01,681.44851759751400,0.3,671.72840664993000,131.74,9671973037.5342000
2002-09-01,685.34498603363400,3.0,673.87658090325300,133.92,9708604851.0721400
2002-12-01,685.92649709159100,3.8,675.40654726962200,135.48,9708912150.4716300
2003-03-01,688.85376936411900,3.0,678.42748263293800,136.74,9702869040.0443800
2003-06-01,696.49212988787300,0.6,685.84735142196900,138.08,9770035113.5380900
2003-09-01,702.12297517221700,0.3,693.96922586672500,139.46,9833712452.0404500
2003-12-01,711.65781756770100,1.4,703.94868076022400,142.04,9975728583.2763600
2004-03-01,708.69754255327000,1.3,697.83696262004400,143.66,9962903644.7641400
2004-06-01,717.42510622222000,2.5,707.14634658361400,144.58,10094150243.1786000
2004-09-01,730.32984742306500,2.8,720.17136524565400,146.54,10267843567.1057000
2004-12-01,753.30573897328400,3.3,744.68653892953300,148.69,10606036693.1297000
2005-03-01,716.36428692959700,4.5,707.91457227348300,149.61,10062236648.7568000
2005-06-01,744.54837574931300,4.5,736.71157437266700,151.78,10469449650.7309000
2005-09-01,768.97730842470500,3.4,761.01702618854500,153.74,10841366432.1522000
2005-12-01,755.35632703831500,3.2,749.07824400423400,153.51,10643202041.0004000
2006-03-01,770.68933263844000,2.1,763.33888739857500,154.51,10874198627.4409000
2006-06-01,783.44193346926700,1.5,778.16752193648400,154.96,11056921694.2400000
2006-09-01,783.57355783565300,2.0,777.72500393495900,155.37,11082247294.6581000
2006-12-01,797.42274901916300,1.0,794.19460284687400,157.47,11306197937.7355000
2007-03-01,824.32958567084300,1.6,822.96436130161100,158.11,11717790356.7623000
2007-06-01,819.82939883405500,3.3,814.87685279445300,158.93,11674083070.9551000
2007-09-01,826.78866739493700,3.3,823.33949816416900,159.04,11789917931.6781000
2007-12-01,827.98787365417600,3.4,823.96459524747400,160.11,11818073355.3972000
2008-03-01,845.28087433345500,1.4,842.26140718296400,162.70,12078255803.3389000
2008-06-01,849.64078804712000,-2.1,847.14752573161400,161.39,12161681857.7442000
2008-09-01,845.48255546235500,-5.8,842.22084232902800,160.48,12090729605.5651000
2008-12-01,851.72107279240100,-11.5,848.68583398479700,160.10,12143630913.3487000
2009-03-01,842.66084899164900,-16.4,837.47651358494600,163.54,11816163720.3190000
2009-06-01,840.65890756810000,-16.6,834.86291246700400,163.13,11695574745.8422000
2009-09-01,841.02229781539000,-11.4,834.91384172672700,161.08,11623607206.1176000
2009-12-01,875.13711755524900,-4.3,869.07048130503000,161.28,12113586474.3306000
2010-03-01,837.92501480366900,4.1,830.85341998250000,160.89,11516299021.3019000
2010-06-01,872.56349332691200,9.5,866.65992913331200,161.30,12126532485.2573000
2010-09-01,879.43241797689900,8.0,875.96586457426200,164.38,12272525727.9130000
2010-12-01,904.91070031912200,6.5,899.51366848290200,164.43,12695498843.3363000
2011-03-01,883.16754360666900,5.4,879.96287397711300,162.85,12379604518.1027000
2011-06-01,908.88397733935800,2.4,901.56333032437600,163.61,12813169447.8180000
2011-09-01,936.77304791882100,2.0,932.04705566268900,164.52,13243142499.1195000
2011-12-01,897.69486896922300,2.0,893.11875849645300,165.68,12779794113.0967000
2012-03-01,944.14043299362400,1.7,940.86077524999600,164.72,13408831658.1165000
2012-06-01,927.61499095976500,1.7,926.12547857146700,165.73,13236621371.2113000
2012-09-01,936.17602156371000,0.6,932.81623267341500,167.37,13345711391.2565000
2012-12-01,942.98298109549600,0.7,941.01165353065900,168.15,13520026889.2695000
2013-03-01,951.79057595877000,1.3,947.73122685453900,168.50,13510100394.3334000
2013-06-01,958.94369579508000,1.8,957.26406158133800,170.95,13698777898.9054000
2013-09-01,952.17001257182800,2.3,948.83594893857200,171.79,13600743419.5209000
2013-12-01,956.37618090274600,2.3,953.62455565494900,171.11,13704461963.5278000
2014-03-01,986.61947270473300,0.7,983.40493281331600,171.14,13905294452.9735000
2014-06-01,970.02102372300000,1.4,967.27590354902600,175.78,13877867220.0606000
2014-09-01,977.99124403294400,1.5,973.31682869428800,177.55,13970107609.8842000
2014-12-01,988.99386551420800,0.9,987.61044616532500,177.57,14196457056.6749000
2015-03-01,1043.14280292722000,0.1,1042.28183974379000,179.04,14728789721.3464000
2015-06-01,996.98377844217800,-1.3,993.58768237528600,181.36,14300088869.5772000
2015-09-01,1002.88176475501000,-1.5,996.51731804628000,183.63,14361776051.1601000
2015-12-01,1035.54131526088000,-1.9,1031.88810214326000,184.12,14895759288.7955000
2016-03-01,980.38701608297900,-0.4,974.69496840660400,186.04,13865741522.7608000
2016-06-01,1004.44446991708000,-0.2,1001.47222016914000,188.93,14424809893.7692000
2016-09-01,1050.90980746198000,-0.4,1044.01580872492000,190.56,15011981270.0469000
2016-12-01,1029.74217993053000,0.0,1026.94566151250000,190.79,14742886240.5155000
2017-03-01,1050.17877275930000,-0.7,1047.30247994515000,190.55,14923443213.1589000
2017-06-01,1041.20120543854000,0.0,1036.81433049513000,196.03,15058164546.8880000
2017-09-01,1040.32911576752000,-0.6,1035.76588069577000,197.53,14983991605.0102000
2017-12-01,1062.72822083084000,0.7,1060.73272585021000,198.00,15348561993.1903000
2018-03-01,1083.61127689301000,1.5,1079.89948196859000,200.14,15617246225.0585000
2018-06-01,1079.60892990916000,1.9,1075.77283541974000,204.98,15790256075.5215000
2018-09-01,1081.72823882495000,3.1,1076.88933256075000,207.25,15723923771.9241000
2018-12-01,1086.76722911823000,1.4,1082.45303251066000,206.20,15776521585.5943000
2019-03-01,1110.22889311699000,-0.4,1106.78597624312000,209.37,16159816814.7272000
2019-06-01,1115.39093207139000,-2.2,1112.96637749942000,213.63,16475600300.9673000
2019-09-01,1122.52277067592000,-3.0,1119.75259561356000,216.65,16427062169.9521000
2019-12-01,1125.39566616557000,-3.1,1123.34539015108000,218.05,16365145875.0941000
2020-03-01,1160.07426159654000,-3.2,1158.82706723164000,220.86,16850773559.5347000
2020-06-01,1198.00359544733000,-15.2,1196.07069712757000,223.33,15059805937.1218000
2020-09-01,1193.70864246003000,-5.4,1192.27002959251000,227.80,15840074683.9617000
2020-12-01,1234.48811473099000,-2.8,1233.43884837074000,231.67,16498619540.5105000
2021-03-01,1214.80838249473000,-0.8,1213.95637347551000,236.08,16273820497.2004000
2021-06-01,1242.36998204657000,15.8,1243.84119054837000,247.02,17046031946.5473000
2021-09-01,1266.53797328199000,5.1,1270.51484407074000,258.71,17236961318.2388000
2021-12-01,1296.17446020606000,4.5,1300.02930301566000,262.94,17696779339.6472000
2022-03-01,1281.10743704464000,4.8,1283.48015730767000,269.88,17537615919.8150000
2022-06-01,,4.2,,284.31,
2022-09-01,,3.8,,287.12,